Date,Exercise,Weight,Repetitions,Belt,Wraps
2014-07-14,Squat,20,10,no,no
2014-07-14,Squat,20,10,no,no
2014-07-14,Squat,60,8,no,no
2014-07-14,Squat,100,5,no,no
2014-07-14,Squat,110,5,no,no
2014-07-14,Squat,110,5,no,no
2014-07-14,Squat,110,11,no,no
2014-07-14,Bench Press,20,15,no,no
2014-07-14,Bench Press,40,8,no,no
2014-07-14,Bench Press,60,5,no,no
2014-07-14,Bench Press,80,3,no,no
2014-07-14,Bench Press,90,3,no,no
2014-07-14,Bench Press,100,1,no,no
2014-07-14,Bench Press,100,3,no,yes
2014-07-14,Bench Press,100,3,no,yes
2014-07-14,Bench Press,100,3,no,yes
2014-07-14,Deadlift,60,5,no,no
2014-07-14,Deadlift,100,3,no,no
2014-07-14,Deadlift,140,3,no,no
2014-07-14,Deadlift,155,1,no,no
2014-07-14,Deadlift,175,1,no,no
